Curso,Aluno,CPF,Endereco,Telefone,Data_Nasc
"Gestão Comercial","Ingrid de Angola Barroso",66230920635,"133 Peck Streets Suite 250",+1-203-609-6202x9171,1939-02-19
"Gestão Comercial","Ismael de Soares Júnior",30424283347,"180 Michelle Stream",+1-462-851-0359,1943-10-02
"Gestão Comercial","Israel de Assunção Pimenta",33355599988,"04462 Lisa Ferry",+1-076-939-0979x819,1960-10-03
"Gestão Comercial","José Mourão",52201370078,"06127 Woods Plains Suite 176",+55-11-99000-0099,1997-01-03
"Gestão Comercial","Karin Luciana de Antunes Pinhão",87807846899,"2391 Tyler Crest Suite 791",+1-713-808-6087x888,1957-07-19
"Gestão Comercial","Marcelo de Barbosa",15234516524,"16736 Kelly Crest Suite 119",+1-419-551-1054x5276,1996-05-28
"Gestão Comercial","Neila da Silva",65305868797,"072 Hall Mountain Apt. 224",+55-11-95050-4039,1947-08-31
"Gestão Comercial","Olímpia de Chaves Sasenabu",72192402457,"15416 Mitchell Common Suite 092",+1-334-299-9934,1995-02-18
"Gestão Comercial","Otaviano Marcelo de Carvalho",72453777190,"08396 James Grove Suite 681",+1-131-998-5104x74347,1944-07-09
"Gestão de RH","Antônio Oeulu",82744591292,"23751 Cox Terrace Apt. 161",+1-693-275-7418x39092,1996-03-23
"Gestão de RH","Dionísio Kim de Oliveira Fragoso Júnior",70088350049,"14316 Wilson Spring",+1-288-466-3628x503,1967-08-27
"Gestão de RH","Edu Arnaldo Mineiro Cuminnas Towateho",96246606245,"24779 Cheryl Ferry",+1-756-239-9210x20911,1965-04-22
"Gestão de RH","Eliomar Suzanne de Moura",12345678977,"030 Michael Curve Suite 017",+55-13-91111-0004,1981-06-20
"Gestão de RH","Gisele do Amaral de Malta",53392688143,"062 James Shore",+55-11-91615-0102,1983-07-14
"Gestão de RH","Joyce Aparecida da Silva",42238546431,"1983 Butler Stravenue Apt. 453",+1-499-706-7459,1951-01-16
"Gestão de RH","Karina dos Santos",70439025450,"1432 Sarah Curve",+1-289-520-9893,1990-05-26
"Gestão de RH","Laerte Ederson Moreno",59116065123,"21391 Cory Oval Apt. 436",+1-568-572-5795x75520,1954-10-26
"Gestão de RH","Marciano de Bezerra Buarque Oeyser",62626255555,"1121 Phyllis Gateway",+1-187-288-6080x3141,1950-02-21
"Gestão de RH","Marielle da Serra",81056839422,"237 Richardson Ford Suite 476",+1-684-625-2006,2008-12-29
"Gestão de RH","Otávio Gilmar de Alves Nirnofezsen Inau Júnior",52365057644,"20778 John Ramp",+1-526-762-4872x8157,1964-04-11
"Gestão de RH","Raiane da Luz Gutierrez de Borges",74174171444,"044 Rachel Falls Suite 789",+1-067-145-4362x6407,1968-07-25
"Gestão de RH","Roberta de Oliveira Ximenes",74305831946,"23149 Jessica Ranch Apt. 613",+1-667-191-4271x344,1965-05-12
"Gestão de RH","Soraya Brides Liuviã",98598598598,"101 Kelly Isle",+1-165-321-9382x226,1939-04-22
"Gestão de RH","Suely Daniela Cavalcante",54052809516,"210 Austin Bridge",+1-538-141-7604x105,1959-10-29
Inglês,"Alfredo Anderson de Barros",10130986185,"250 Carroll Road",+1-770-767-4254,2001-02-01
Inglês,"Altair de Pereira Isbi Muchol",44445555665,"161 Monica Way",+1-361-446-5011,1970-03-18
Inglês,"Ana de Barbosa",94558854373,"24762 Tina Cliff Suite 930",+1-741-938-9637x9318,1937-05-20
Inglês,"Avelino Abirner Neto",97934358114,"2488 Davis Mills",+1-764-358-8611,1938-07-18
Inglês,"Bianca Maria dos Santos",05020555555,"0206 Sanford Ford",+55-61-94444-3311,1993-03-04
Inglês,"Brenda de Junqueira",71140376253,"144 Hogan Loaf",+1-306-897-1768x3145,1939-08-04
Inglês,"Daniela Rute de Tozetto",21212121212,"159 Bailey Cove",+1-340-310-5929x8290,1945-03-01
Inglês,"David Meynyorn",69386999246,"139 Hutchinson Junctions",+1-268-776-5272x81605,2005-04-12
Inglês,"Dionísio Cirilo Weiss Lole",34123567630,"057 Felicia Plains Apt. 273",+1-084-098-0852,1980-01-04
Inglês,"Edson Coso",71841727055,"1531 Brown Motorway",+1-320-216-2073x6487,1975-05-21
Inglês,"Hamilton Gunoi Martinez",25361027740,"177 Davis Fields",+1-449-235-2333x560,1975-09-15
Inglês,"Humberto Mike de Uchôa",27048779600,"17858 Heidi Underpass",+1-454-626-5519x56950,2001-06-16
Inglês,"Ismael de Soares Júnior",30424283347,"180 Michelle Stream",+1-462-851-0359,1943-10-02
Inglês,"Israel de Assunção Pimenta",33355599988,"04462 Lisa Ferry",+1-076-939-0979x819,1960-10-03
Inglês,"Jackson Jorge Suwoga",69036323845,"13850 Good Motorway",+1-262-563-8517,2004-01-16
Inglês,"João Cléber da Silva",68752234762,"04476 Cheryl Camp Apt. 802",+1-079-376-9912,1953-09-24
Inglês,"Juliano de Diniz Esluyer Anuneson",75993583815,"23381 Roy Hollow Apt. 749",+1-668-107-5214,1985-11-09
Inglês,"Kauê Albafriov",91183350638,"24622 Rodgers Rapid Apt. 751",+1-726-416-1130x3829,1958-11-03
Inglês,"Meire Amanda de Osório da Silva",28736531478,"1791 Caldwell Centers Suite 237",+1-460-452-2517x411,1961-02-28
Inglês,"Moisés Fontes de Machado",45614050170,"20184 Crawford Mews Apt. 328",+1-507-130-4354,1975-05-28
Inglês,"Ney de Toledo Sanches",72543077858,"1624 Amber Point Suite 348",+1-366-174-2909x7141,1956-02-18
Inglês,"Olímpia de Chaves Sasenabu",72192402457,"15416 Mitchell Common Suite 092",+1-334-299-9934,1995-02-18
Inglês,"Olímpia Estrada das Neves",70930328207,"230 Joshua Squares",+1-654-362-4649x8722,2007-07-01
Inglês,"Otaviano Marcelo de Carvalho",72453777190,"08396 James Grove Suite 681",+1-131-998-5104x74347,1944-07-09
Inglês,"Otto Marlon Iboman da Silva",54584006209,"0620 Christensen Fords",+55-34-95050-4040,1957-10-01
Inglês,"Poliana Yasmin Naves Lielua",01437901196,"05301 Stevenson Corner",+1-083-114-1939x21255,1981-09-20
Inglês,"Roberto de Nogueira",10299761377,"250 Lucero Mews Suite 311",+1-773-579-0923x905,1962-04-07
Inglês,"Roberval da Cunha de Tavares",69242576334,"22953 Michael Mountains Suite 782",+1-629-612-7735x0573,1932-01-14
Inglês,"Simão de Fraga Neto",70071141059,"079 Suzanne Stream",+55-11-97667-5455,1963-07-08
Inglês,"Terezinha Bise de Araújo Finanatiov",33799787085,"1892 Cory Village",+1-469-353-6174x2359,1961-04-20
Inglês,"Úrsula dos Santos Behere do Espírito Santo",89495598768,"2438 Maria Extensions",+1-715-955-8150x249,1937-04-20
Letras,"Alan Siumyde Muu da Silva",66581596036,"1337 Rios Coves",+1-206-537-3712,1945-02-26
Letras,"Caio Geli Gomes",64828219030,"11950 Johnson Mission Apt. 583",+1-189-102-9525x579,2008-03-13
Letras,"Cíntia Regina Schneider Teles",99622109983,"2489 Barton Cliffs Suite 644",+1-767-558-2046x80568,1941-06-04
Letras,"Elano Akizoho de Souza Terceiro",01712609174,"1650 Thompson Manors",+1-375-414-0428x2935,1958-05-23
Letras,"Isaías Hamilton da Silva",68685648444,"138 Smith Streets Apt. 492",+1-255-321-3202x867,1931-11-03
Letras,"Laura Yoripe",12141618201,"02576 Lewis Falls Suite 987",+55-11-5525-1414,1974-12-09
Letras,"Milene Selma dos Pinhais de Moura Banhos",32112035216,"18266 Chelsea Mountains",+1-468-874-6602x132,1970-11-21
Letras,"Nádia Rauson Efro",64179320731,"221 Dawn Hill Apt. 047",+1-621-441-7900x765,1991-08-26
Letras,"Susan Olmo de Souza Rangel",18590127865,"16686 Williams Center",+1-385-549-8323x9389,2008-08-19
Letras,"Valéria Natália de Soares do Paraná",06169933554,"0438 Cole Mount",+1-066-815-7844x2771,1961-01-12
Marketing,"Dionísio Kim de Oliveira Fragoso Júnior",70088350049,"14316 Wilson Spring",+1-288-466-3628x503,1967-08-27
Marketing,"Guiomar Verônica de Oliveira Naves",64477543628,"119 Carpenter Fords",+1-187-635-8902x728,1964-11-05
Marketing,"João Cléber da Silva",68752234762,"04476 Cheryl Camp Apt. 802",+1-079-376-9912,1953-09-24
Marketing,"José Décio Zyvo",67282946839,"134 Gina Causeway",+1-231-484-1774x84631,1930-01-28
Marketing,"Karina dos Santos",70439025450,"1432 Sarah Curve",+1-289-520-9893,1990-05-26
Marketing,"Lúcio Baltazar da Silva",16922268394,"17127 Ashley Ranch",+1-424-210-7863,1964-10-10
Marketing,"Meire Amanda de Osório da Silva",28736531478,"1791 Caldwell Centers Suite 237",+1-460-452-2517x411,1961-02-28
Marketing,"Ney Adílson Gomo",60540596536,"06709 Pitts Fields",+55-81-99999-0001,1930-04-28
Marketing,"Olímpia Estrada das Neves",70930328207,"230 Joshua Squares",+1-654-362-4649x8722,2007-07-01
Marketing,"Raiane da Luz Gutierrez de Borges",74174171444,"044 Rachel Falls Suite 789",+1-067-145-4362x6407,1968-07-25
Marketing,"Selena Mayra de Souza Ugiza Gutierrez",85285287414,"165 Reed Ports Suite 314",+1-367-126-5660,1934-04-30
